Collection ID	1245
Type	SpectraCollection
Description	2,10 mg/kg
Processing log	Standardized ppm range to 11.7817:0.00043:-2.2. Set reference [0.030000,-0.030000]. Fixed baseline. Cropped ranges: 9.5,0.18. Zeroed ranges: 6.01,5.54;4.9,4.7.
Base sample ID	5421	5422	5423	5424	5425	5426	5427
Time	2	2	2	2	2	2	2
Classification	10 mg/kg	10 mg/kg	10 mg/kg	10 mg/kg	10 mg/kg	10 mg/kg	10 mg/kg
Sample ID							
Subject ID	183	180	29	30	181	182	28
Sample Description							
Weight							
Units of weight							
Species							
X	Y0	Y1	Y2	Y3	Y4	Y5	Y6
9.47346	0.801456	0.398464	0.049811	0.156541	0.21735	0.530314	0.478698
9.47303	0.801578	0.484831	0.332548	0.230061	0.180344	0.372226	0.260832
9.4726	0.896801	0.436485	0.297294	0.020986	0.219315	0.257919	0.092813
9.47217	1.064676	0.278615	0.346444	0.155384	0.223678	0.252584	0.591441
9.47174	0.791118	0.292204	0.251366	0.088555	0.145852	0.282319	0.51884
9.47131	0.372753	0.336008	0.228521	0.291326	0.236841	0.491556	0.188155
9.47088	0.369815	0.205307	0.397494	0.254029	0.292444	0.637588	0.134527
9.47045	0.260306	0.335449	0.216908	0.500708	0.209395	0.47607	0.193039
9.47002	-0.074249	0.337429	0.196935	0.367504	0.261759	0.511434	0.454195
9.46959	0.186069	0.265705	0.009108	0.086228	0.37884	0.686133	0.462297
9.46916	0.465772	0.250377	-0.186462	0.181942	0.333364	0.524752	0.248786
9.46873	0.349054	0.10944	-0.03249	0.434102	0.158669	0.565426	0.571862
9.4683	0.449553	0.194568	0.247488	0.457823	0.186713	0.613952	0.605157
9.46787	0.832315	0.143031	-0.034711	-0.12092	0.145943	0.500625	0.458464
9.46744	0.624177	0.110098	-0.253414	-0.151766	0.097536	0.525024	0.531489
9.46701	0.898561	0.192049	-0.043226	0.07901	0.210079	0.538291	0.471602
9.46658	0.732834	0.3025	0.125749	0.137149	0.204478	0.504024	0.470018
9.46615	0.795099	0.277917	0.326708	0.325544	0.205268	0.48571	0.629012
9.46572	0.992911	0.26452	0.002444	0.50004	0.169811	0.484638	0.482721
9.46529	1.264979	0.202103	-0.166578	0.518889	0.114308	0.636728	0.497413
