"Metabolite Name","ID","Peak","Spectrum 1","Spectrum 2","Spectrum 3","Spectrum 4","Spectrum 5"
"Unobtanium 0001",1000000,"Sum",34.259460,34.053277,29.094268,32.815139,25.972953
"Unobtanium 0001",1000000,"Peak 1",34.259460,34.053277,29.094268,32.815139,25.972953
