Collection ID	10824
Type	SpectraCollection
Description	48,DSFu,Rat,Urine (1)
Processing log	Standardized ppm range to 11.6:0.0007:-2.0. Set reference [0.030000,-0.030000]. Fix baseline (lambda: 200.000000). Cropped ranges: 9.8,0.14. Zeroed ranges: 6.01,5.54;5.0,4.72;4.01,3.92;3.86,3.82. Sum normalized to 1000.0.  Extracted residual after subtracting peaks for:  U6.837 (13), U6.824 (14).
Base sample ID	20531	20540	20541	20553	20637	20673	20707	20748	20792	20822	20834	20835
Time	48	48	48	48	48	48	48	48	48	48	48	48
Classification	DSFu	DSFu	DSFu	DSFu	DSFu	DSFu	DSFu	DSFu	DSFu	DSFu	DSFu	DSFu
Sample ID	Urine	Urine	Urine	Urine	Urine	Urine	Urine	Urine	Urine	Urine	Urine	Urine
Subject ID	5	6	3	1	2	4	25	29	28	26	30	27
Sample Description												
Weight												
Units of weight												
Species	Rat	Rat	Rat	Rat	Rat	Rat	Rat	Rat	Rat	Rat	Rat	Rat
X	Y1	Y2	Y3	Y4	Y5	Y6	Y7	Y8	Y9	Y10	Y11	Y12
7.501500	0.329583	0.200126	0.277391	0.221787	0.227968	0.397620	0.211058	0.161972	0.199330	0.179791	0.294601	0.221440
7.500800	0.289741	0.159918	0.274843	0.211345	0.217629	0.308986	0.187643	0.163325	0.215815	0.173713	0.277096	0.213981
7.500100	0.225608	0.140084	0.224526	0.182856	0.182379	0.263018	0.160170	0.141865	0.186286	0.170008	0.211419	0.172820
7.499400	0.204536	0.121574	0.188711	0.162196	0.156975	0.246980	0.141407	0.129155	0.161863	0.152640	0.176857	0.153302
7.498700	0.155955	0.096280	0.161576	0.129589	0.123604	0.192867	0.106490	0.114068	0.138813	0.130981	0.147116	0.135722
7.498000	0.105126	0.079211	0.125977	0.097527	0.097241	0.139366	0.083014	0.089816	0.108293	0.099451	0.100942	0.101792
7.497300	0.081809	0.065089	0.096693	0.075337	0.085170	0.103220	0.066096	0.074522	0.089925	0.070355	0.073915	0.079431
7.496600	0.066941	0.059923	0.077096	0.064083	0.073682	0.087318	0.060102	0.060268	0.076439	0.061268	0.058008	0.064954
7.495900	0.060787	0.060163	0.069169	0.058038	0.070705	0.078645	0.056086	0.054547	0.071096	0.057816	0.052503	0.057498
7.495200	0.058424	0.057244	0.066080	0.056031	0.067574	0.074269	0.051900	0.050383	0.068967	0.055033	0.050483	0.054964
7.494500	0.056374	0.052769	0.062196	0.054837	0.061597	0.074539	0.048996	0.046804	0.061973	0.048457	0.050899	0.052297
7.493800	0.053976	0.047280	0.060777	0.052731	0.051700	0.082720	0.045927	0.043898	0.053467	0.039795	0.051349	0.049784
7.493100	0.064473	0.054531	0.057394	0.057663	0.045063	0.119120	0.053333	0.042264	0.041823	0.038806	0.055852	0.048457
7.492400	0.107211	0.073988	0.067944	0.074000	0.053657	0.180108	0.070518	0.050915	0.041222	0.045664	0.083995	0.064499
7.491700	0.157867	0.103686	0.096781	0.100669	0.067968	0.259095	0.094003	0.066372	0.052004	0.059597	0.123019	0.091586
7.491000	0.208884	0.137788	0.138464	0.125780	0.085489	0.332915	0.117158	0.086382	0.069426	0.074404	0.170201	0.126045
7.490300	0.247591	0.164037	0.178611	0.150313	0.105648	0.397394	0.147711	0.104724	0.089398	0.087492	0.210089	0.157356
7.489600	0.316248	0.213046	0.215395	0.203324	0.130741	0.535530	0.195640	0.130065	0.108245	0.120735	0.254927	0.192622
7.488900	0.379363	0.224747	0.276038	0.215829	0.151086	0.576786	0.188172	0.172675	0.134120	0.138874	0.334520	0.250202
7.488200	0.325564	0.178190	0.288181	0.174268	0.131928	0.457550	0.142761	0.166598	0.138172	0.114896	0.327049	0.243357
7.487500	0.227578	0.113171	0.232586	0.112630	0.098876	0.273950	0.095866	0.128130	0.108976	0.071480	0.243867	0.180750
7.486800	0.150057	0.091073	0.146300	0.088444	0.069911	0.204183	0.081655	0.087480	0.072474	0.053900	0.149582	0.112053
7.486100	0.123186	0.078411	0.111309	0.074394	0.061568	0.165847	0.071789	0.072052	0.059202	0.047678	0.122681	0.091093
7.485400	0.096907	0.058102	0.090407	0.056698	0.055206	0.109510	0.055398	0.063198	0.052709	0.037352	0.102835	0.076372
7.484700	0.064537	0.041503	0.061967	0.044858	0.042982	0.074456	0.045071	0.053221	0.042949	0.029072	0.072517	0.055455
7.484000	0.049244	0.032760	0.043625	0.036770	0.036873	0.057487	0.039244	0.044171	0.031089	0.026460	0.052558	0.043403
7.483300	0.040923	0.028796	0.031665	0.030121	0.033359	0.045472	0.034632	0.038373	0.025420	0.025078	0.041524	0.037803
7.482600	0.033676	0.027577	0.025685	0.027607	0.026493	0.041614	0.032975	0.031243	0.020944	0.023952	0.033247	0.031097
7.481900	0.031470	0.028559	0.023210	0.026553	0.023280	0.042983	0.032615	0.027950	0.018099	0.022844	0.031695	0.027591
7.481200	0.035707	0.032561	0.023787	0.028139	0.023708	0.051155	0.034443	0.028594	0.021034	0.023039	0.034573	0.029068
7.480500	0.045883	0.040486	0.028053	0.034968	0.028918	0.071608	0.040182	0.032811	0.023603	0.028359	0.041947	0.033351
7.479800	0.065931	0.057297	0.040657	0.046668	0.035817	0.107118	0.049073	0.040144	0.029540	0.036310	0.055587	0.044418
7.479100	0.079959	0.066579	0.061697	0.049613	0.044851	0.114494	0.052437	0.048693	0.039381	0.038547	0.074949	0.058715
7.478400	0.087793	0.085146	0.070917	0.059957	0.055218	0.134618	0.067455	0.053152	0.048531	0.041593	0.078654	0.063343
7.477700	0.126054	0.136753	0.089031	0.096607	0.074299	0.225378	0.111237	0.068973	0.065330	0.061347	0.101785	0.083781
7.477000	0.202662	0.183921	0.140540	0.129544	0.109058	0.302239	0.148684	0.106002	0.103562	0.086131	0.164804	0.137752
7.476300	0.217624	0.178793	0.181892	0.129927	0.122369	0.302477	0.140656	0.134522	0.135879	0.096112	0.204326	0.174246
7.475600	0.183595	0.145084	0.177198	0.105669	0.108578	0.240567	0.110754	0.128729	0.136535	0.081939	0.185361	0.160447
7.474900	0.137363	0.126654	0.141982	0.086005	0.091200	0.186070	0.090716	0.110903	0.111478	0.071322	0.147937	0.126216
7.474200	0.107441	0.103753	0.114708	0.070827	0.078103	0.142895	0.073945	0.097705	0.101381	0.057572	0.119319	0.102399
7.473500	0.082284	0.070210	0.090969	0.052346	0.062939	0.090736	0.054941	0.078820	0.084626	0.042718	0.095989	0.083321
7.472800	0.052174	0.049395	0.061097	0.041531	0.047156	0.059803	0.042607	0.055526	0.055875	0.032791	0.063289	0.056759
7.472100	0.038511	0.037923	0.041802	0.036087	0.037805	0.041705	0.035259	0.042087	0.039010	0.025096	0.046509	0.041854
7.471400	0.032793	0.033931	0.033989	0.033004	0.034066	0.035052	0.034306	0.035891	0.030367	0.023284	0.038386	0.032181
7.470700	0.030778	0.032131	0.030751	0.029612	0.033197	0.032423	0.030908	0.033635	0.028524	0.024125	0.035781	0.030472
7.470000	0.028707	0.028836	0.028862	0.025654	0.031635	0.025752	0.028562	0.031993	0.027697	0.022544	0.033509	0.029423
7.469300	0.027678	0.028379	0.025199	0.025169	0.030896	0.022360	0.029040	0.028576	0.022221	0.021287	0.030866	0.026536
7.468600	0.026051	0.027744	0.022545	0.025044	0.029554	0.022458	0.030071	0.027682	0.020992	0.020819	0.028555	0.023376
7.467900	0.023049	0.029689	0.020160	0.024250	0.026678	0.022558	0.028267	0.026133	0.020754	0.021249	0.025503	0.020589
7.467200	0.023078	0.031643	0.019765	0.025188	0.025283	0.026757	0.028547	0.025255	0.021815	0.020576	0.024428	0.020032
7.466500	0.025888	0.037267	0.021284	0.028661	0.027839	0.035054	0.033077	0.028290	0.025409	0.020845	0.027154	0.023740
7.465800	0.033359	0.047889	0.025791	0.037159	0.032720	0.050393	0.041198	0.035609	0.032258	0.025082	0.032184	0.029320
7.465100	0.040643	0.047558	0.032345	0.039459	0.036894	0.056570	0.040986	0.044504	0.040863	0.026866	0.039137	0.035490
7.464400	0.042806	0.050820	0.033002	0.041574	0.038231	0.059016	0.046128	0.043992	0.042713	0.025869	0.039153	0.034411
7.463700	0.050128	0.063581	0.034080	0.046668	0.044253	0.068107	0.058015	0.049243	0.044986	0.028663	0.044103	0.038205
7.463000	0.060601	0.076799	0.042836	0.052068	0.053031	0.080055	0.069439	0.062213	0.055972	0.033740	0.055994	0.048919
7.462300	0.065842	0.082313	0.052683	0.052402	0.058687	0.083395	0.068498	0.075055	0.069569	0.037709	0.066321	0.060397
7.461600	0.052205	0.064094	0.058201	0.042512	0.049149	0.067057	0.048655	0.075114	0.073772	0.030700	0.067243	0.063525
7.460900	0.037671	0.041852	0.051786	0.033110	0.032339	0.043636	0.035514	0.056786	0.058162	0.021180	0.050287	0.050305
7.460200	0.030052	0.030093	0.038173	0.027083	0.024834	0.030333	0.030583	0.040903	0.036948	0.015973	0.033024	0.035713
7.459500	0.025979	0.028547	0.026726	0.025612	0.026031	0.027122	0.030547	0.030056	0.027929	0.013778	0.026914	0.028347
7.458800	0.026247	0.032296	0.024315	0.025143	0.028364	0.025857	0.031288	0.028644	0.028665	0.013748	0.027922	0.027084
7.458100	0.025775	0.033203	0.020610	0.022435	0.030008	0.021755	0.029525	0.030236	0.028826	0.014119	0.028752	0.025871
7.457400	0.018672	0.030643	0.020170	0.018163	0.029382	0.016613	0.024913	0.028786	0.026952	0.013306	0.026573	0.023750
7.456700	0.015828	0.030095	0.023058	0.017585	0.028779	0.014720	0.022892	0.027630	0.024919	0.016398	0.022979	0.024309
7.456000	0.014843	0.031021	0.024449	0.017099	0.027239	0.015357	0.022442	0.026209	0.023506	0.023670	0.020685	0.024991
7.455300	0.015845	0.031318	0.025428	0.017958	0.028776	0.015627	0.023835	0.024033	0.026180	0.026063	0.020438	0.025147
7.454600	0.015990	0.031898	0.024088	0.016433	0.029587	0.015580	0.021346	0.021657	0.029406	0.027347	0.020172	0.024303
7.453900	0.013883	0.032669	0.018524	0.015553	0.028842	0.017176	0.018916	0.019820	0.030977	0.024732	0.017253	0.019250
7.453200	0.013353	0.031079	0.014119	0.018271	0.027556	0.020559	0.017210	0.019620	0.030207	0.021043	0.016413	0.016859
7.452500	0.015624	0.030412	0.012515	0.021918	0.028209	0.028405	0.020887	0.019901	0.029727	0.020098	0.017767	0.016327
7.451800	0.019756	0.026408	0.012864	0.025082	0.026327	0.033366	0.022183	0.024091	0.024751	0.022576	0.019648	0.017315
7.451100	0.020747	0.020568	0.010963	0.025665	0.024509	0.034896	0.021294	0.025108	0.020973	0.023829	0.020113	0.018292
7.450400	0.020876	0.016167	0.011401	0.027523	0.020854	0.035666	0.019996	0.024603	0.017236	0.019310	0.018068	0.017264
7.449700	0.022128	0.013270	0.010012	0.027960	0.019773	0.032034	0.021159	0.023732	0.012625	0.017000	0.017192	0.015915
7.449000	0.021750	0.012682	0.010607	0.027728	0.019581	0.028431	0.022773	0.023972	0.012083	0.013649	0.019014	0.014415
7.448300	0.022928	0.014307	0.012732	0.026817	0.022376	0.025847	0.026438	0.024340	0.013924	0.011305	0.021756	0.014961
7.447600	0.026495	0.016469	0.018600	0.029758	0.028498	0.023784	0.030381	0.026496	0.020079	0.011682	0.024658	0.018036
7.446900	0.028878	0.016560	0.023818	0.033967	0.034468	0.022621	0.032760	0.027166	0.023174	0.015184	0.027149	0.020429
7.446200	0.029795	0.017932	0.027179	0.036955	0.035374	0.023306	0.032805	0.028154	0.022890	0.016730	0.025794	0.024327
7.445500	0.030097	0.018787	0.025951	0.036107	0.032703	0.023817	0.031789	0.027030	0.022750	0.016260	0.024039	0.024971
7.444800	0.028715	0.020924	0.025577	0.032394	0.031064	0.023057	0.032128	0.025407	0.024205	0.016163	0.024609	0.024608
7.444100	0.027655	0.024178	0.024265	0.031032	0.034347	0.023987	0.031863	0.025465	0.027683	0.017074	0.025864	0.024498
7.443400	0.027360	0.027128	0.022028	0.030552	0.037556	0.023540	0.032889	0.027221	0.028899	0.017576	0.025820	0.024769
7.442700	0.027818	0.032511	0.024457	0.033593	0.041309	0.025034	0.035449	0.029040	0.030578	0.022440	0.027962	0.026573
7.442000	0.029784	0.036010	0.032354	0.036393	0.045470	0.027943	0.037270	0.031519	0.037451	0.030576	0.030410	0.035381
7.441300	0.030837	0.036442	0.037037	0.038151	0.046416	0.030188	0.035896	0.033014	0.041935	0.039062	0.029745	0.040706
7.440600	0.035457	0.048458	0.041547	0.053429	0.054886	0.040836	0.048419	0.032424	0.046482	0.051134	0.031344	0.044773
7.439900	0.056157	0.066208	0.059999	0.077755	0.079105	0.058334	0.069568	0.041944	0.067127	0.070365	0.045903	0.064199
7.439200	0.074965	0.079187	0.081370	0.098550	0.100198	0.075878	0.086515	0.055728	0.089401	0.096995	0.062995	0.089900
7.438500	0.084228	0.088077	0.098103	0.116294	0.108221	0.090945	0.104915	0.065048	0.104543	0.119564	0.073154	0.108008
7.437800	0.097954	0.091632	0.112832	0.130309	0.121406	0.102861	0.125529	0.077738	0.115024	0.149143	0.086256	0.122619
7.437100	0.100862	0.088315	0.119902	0.133454	0.125707	0.104864	0.130694	0.088630	0.122044	0.154459	0.096349	0.130609
7.436400	0.093026	0.088287	0.122787	0.132934	0.127477	0.099216	0.115581	0.093107	0.115736	0.116953	0.101562	0.118024
7.435700	0.080704	0.076648	0.130109	0.114303	0.114640	0.083178	0.091698	0.087705	0.110367	0.091006	0.100483	0.103852
7.435000	0.070554	0.059180	0.121362	0.090336	0.091850	0.069286	0.075086	0.069910	0.094733	0.079649	0.081235	0.090558
7.434300	0.060558	0.047679	0.092598	0.075427	0.072035	0.058999	0.063089	0.054654	0.080679	0.068324	0.060474	0.076853
7.433600	0.052245	0.040619	0.070920	0.063020	0.060973	0.049481	0.052862	0.045370	0.069695	0.053438	0.049675	0.062717
7.432900	0.047467	0.036089	0.057619	0.057137	0.060205	0.042509	0.047016	0.040779	0.062275	0.043868	0.042272	0.050116
7.432200	0.045041	0.034518	0.050063	0.058923	0.063005	0.041183	0.046066	0.038221	0.055979	0.041562	0.039676	0.043602
7.431500	0.044721	0.037714	0.047107	0.063379	0.067271	0.043329	0.048833	0.037412	0.050719	0.041236	0.039253	0.043049
7.430800	0.048507	0.048334	0.051333	0.075091	0.074884	0.053449	0.059194	0.039541	0.053264	0.049737	0.042103	0.047413
7.430100	0.064305	0.063933	0.066800	0.094168	0.094943	0.067736	0.076376	0.049155	0.067875	0.063991	0.054080	0.063897
7.429400	0.087299	0.088005	0.088288	0.124954	0.120059	0.091839	0.107491	0.062434	0.088967	0.089612	0.070336	0.089096
7.428700	0.112463	0.109051	0.116662	0.154000	0.148505	0.120025	0.139376	0.081351	0.118100	0.131887	0.093142	0.127201
7.428000	0.134792	0.122830	0.145772	0.167683	0.169624	0.131140	0.153292	0.097098	0.144217	0.149315	0.111877	0.161783
7.427300	0.151386	0.131409	0.166357	0.183560	0.181896	0.144812	0.167985	0.106297	0.159286	0.172310	0.125084	0.182514
7.426600	0.153489	0.132270	0.181965	0.182278	0.182702	0.147607	0.167062	0.113707	0.175305	0.180940	0.134174	0.198375
7.425900	0.161058	0.153287	0.189042	0.204300	0.191675	0.159615	0.190281	0.117472	0.179671	0.187245	0.137757	0.201510
7.425200	0.196927	0.190590	0.216703	0.258262	0.226420	0.198408	0.245647	0.139367	0.205163	0.251856	0.162482	0.235278
7.424500	0.224114	0.189275	0.264851	0.265159	0.244368	0.210038	0.252285	0.171537	0.248119	0.292260	0.195013	0.297860
7.423800	0.205421	0.168854	0.269292	0.237251	0.221944	0.190571	0.227943	0.168994	0.247455	0.275276	0.188413	0.295503
7.423100	0.180343	0.146408	0.244130	0.211926	0.198057	0.167183	0.202760	0.156725	0.220008	0.228057	0.170220	0.257146
7.422400	0.141947	0.119609	0.214182	0.175379	0.165726	0.138036	0.157484	0.141584	0.189755	0.180650	0.150337	0.211433
7.421700	0.100401	0.085052	0.181656	0.121023	0.121491	0.096906	0.109604	0.111256	0.149905	0.125899	0.116452	0.161652
7.421000	0.071431	0.058049	0.132069	0.079096	0.088064	0.065780	0.073605	0.079409	0.107026	0.079911	0.079180	0.113375
7.420300	0.051841	0.048093	0.084077	0.064168	0.069651	0.054681	0.059704	0.057598	0.080074	0.062205	0.053009	0.080132
7.419600	0.043993	0.044609	0.066124	0.057641	0.064540	0.049951	0.053624	0.049931	0.074291	0.053789	0.045097	0.066376
7.418900	0.042074	0.046946	0.058413	0.056532	0.067368	0.047789	0.052266	0.045698	0.075264	0.049241	0.043088	0.061281
7.418200	0.044245	0.059243	0.057689	0.065539	0.077445	0.052787	0.057072	0.046356	0.081036	0.051215	0.045343	0.061581
7.417500	0.055488	0.082518	0.068990	0.091492	0.096672	0.070589	0.077553	0.051160	0.090512	0.068282	0.054291	0.072073
7.416800	0.076129	0.089740	0.092199	0.107062	0.123392	0.081546	0.093784	0.066378	0.109966	0.092017	0.071724	0.099121
7.416100	0.079016	0.088703	0.101991	0.105284	0.129129	0.079264	0.092188	0.073571	0.113330	0.099757	0.076438	0.111269
7.415400	0.080010	0.102318	0.102780	0.117990	0.133273	0.086260	0.104802	0.071912	0.107849	0.101632	0.075064	0.107434
7.414700	0.106637	0.125603	0.125580	0.146668	0.161629	0.109384	0.133192	0.083776	0.126531	0.127411	0.093754	0.130826
7.414000	0.145030	0.160335	0.163484	0.197049	0.193853	0.146752	0.179173	0.105345	0.159765	0.171553	0.121632	0.173769
7.413300	0.181997	0.181187	0.216511	0.241176	0.222647	0.184871	0.215578	0.134058	0.205700	0.237905	0.157891	0.234400
7.412600	0.192423	0.172274	0.257041	0.234370	0.213839	0.182380	0.209206	0.149325	0.233777	0.242941	0.174228	0.275190
7.411900	0.181171	0.149661	0.253502	0.211080	0.189134	0.166257	0.188246	0.141380	0.218822	0.230321	0.165411	0.264009
7.411200	0.144931	0.096835	0.218345	0.136822	0.145800	0.113128	0.122588	0.121298	0.186168	0.171820	0.138422	0.228109
7.410500	0.096231	0.079032	0.148842	0.101098	0.094030	0.083918	0.090640	0.080915	0.114735	0.118453	0.092439	0.140040
7.409800	0.087947	0.083838	0.118570	0.098298	0.084684	0.081750	0.086075	0.068295	0.092902	0.103957	0.080971	0.102451
7.409100	0.092362	0.096625	0.113264	0.105223	0.091184	0.087750	0.091828	0.072166	0.100318	0.106956	0.086810	0.098831
7.408400	0.104548	0.115010	0.116627	0.128015	0.106396	0.101335	0.118011	0.081781	0.109732	0.122514	0.096016	0.103158
7.407700	0.113989	0.102335	0.120771	0.151548	0.128587	0.104939	0.152160	0.099993	0.112315	0.140524	0.107994	0.114184
7.407000	0.091424	0.073220	0.105608	0.123721	0.126188	0.079621	0.135601	0.101312	0.085037	0.117357	0.089726	0.106606
7.406300	0.065300	0.054547	0.080546	0.084879	0.100355	0.055575	0.097876	0.078609	0.060653	0.091592	0.061726	0.080643
7.405600	0.049051	0.038135	0.062944	0.053577	0.079818	0.037894	0.062787	0.058114	0.045696	0.071169	0.045111	0.061065
7.404900	0.036477	0.031944	0.048532	0.042757	0.056978	0.032348	0.049888	0.042886	0.032785	0.057419	0.034037	0.046428
7.404200	0.033027	0.029891	0.043428	0.038235	0.047205	0.029677	0.043261	0.036003	0.029563	0.047185	0.031928	0.040942
7.403500	0.030778	0.031794	0.038458	0.034084	0.040873	0.028418	0.038024	0.032879	0.029550	0.040138	0.030706	0.038208
7.402800	0.029936	0.033877	0.032946	0.031813	0.038725	0.031840	0.037581	0.031944	0.029810	0.040707	0.029259	0.036609
7.402100	0.031936	0.036129	0.030495	0.034702	0.037134	0.037060	0.040095	0.031811	0.029298	0.045037	0.031154	0.038572
7.401400	0.036446	0.035929	0.032233	0.036506	0.038120	0.042374	0.040418	0.032158	0.032684	0.049786	0.034375	0.041460
7.400700	0.040487	0.034739	0.034406	0.036353	0.037065	0.042954	0.040068	0.032082	0.033104	0.048596	0.034689	0.043502
7.400000	0.040420	0.032348	0.034753	0.033333	0.034550	0.038971	0.037032	0.030990	0.030426	0.042525	0.034864	0.041326
7.399300	0.038065	0.032209	0.037146	0.032003	0.032749	0.034901	0.036348	0.029671	0.029630	0.038040	0.033371	0.036532
7.398600	0.039486	0.035023	0.040991	0.034126	0.032300	0.037316	0.038310	0.029510	0.029094	0.037825	0.034288	0.033745
7.397900	0.046270	0.041877	0.047740	0.040139	0.035418	0.043684	0.042878	0.031510	0.035511	0.041563	0.041376	0.035527
7.397200	0.058838	0.051280	0.062769	0.047440	0.042514	0.051651	0.048872	0.036779	0.046701	0.045193	0.052170	0.040765
7.396500	0.068536	0.067271	0.074367	0.060896	0.052104	0.061365	0.059578	0.043681	0.060201	0.048584	0.060261	0.048789
7.395800	0.082427	0.103556	0.084280	0.087087	0.068066	0.085126	0.088132	0.056427	0.082744	0.065049	0.071129	0.061852
7.395100	0.111955	0.140851	0.109621	0.115860	0.105768	0.114336	0.126385	0.081811	0.124677	0.091308	0.097116	0.097499
7.394400	0.142707	0.166085	0.139314	0.157293	0.141563	0.147294	0.177801	0.105743	0.156666	0.132496	0.126792	0.134802
7.393700	0.152605	0.146726	0.162216	0.169623	0.164368	0.147079	0.195189	0.124047	0.167348	0.149117	0.145417	0.158193
7.393000	0.119416	0.112705	0.146335	0.126371	0.140295	0.112298	0.153301	0.108661	0.136892	0.108139	0.117175	0.141025
7.392300	0.087930	0.081685	0.108644	0.087101	0.104332	0.084271	0.109637	0.078296	0.100589	0.077365	0.080921	0.106931
7.391600	0.069165	0.060460	0.075050	0.063254	0.079498	0.067267	0.080678	0.057586	0.071514	0.064227	0.058634	0.081317
7.390900	0.058291	0.046686	0.054916	0.052014	0.062736	0.058828	0.063382	0.044774	0.050250	0.059342	0.047323	0.064620
7.390200	0.054628	0.040751	0.043816	0.048483	0.055049	0.057119	0.052309	0.038200	0.041081	0.059288	0.041815	0.056457
7.389500	0.053517	0.039757	0.038427	0.049171	0.049811	0.057496	0.048438	0.034445	0.038663	0.061248	0.041350	0.054096
7.388800	0.051793	0.039171	0.039421	0.048394	0.048317	0.058799	0.047253	0.032846	0.038604	0.063841	0.041175	0.053140
7.388100	0.057279	0.043062	0.039638	0.052535	0.048918	0.066962	0.050942	0.032179	0.038054	0.074840	0.043494	0.053106
7.387400	0.067411	0.046270	0.043035	0.056301	0.049931	0.074781	0.053203	0.033564	0.040366	0.078257	0.048254	0.059887
7.386700	0.070291	0.049271	0.049169	0.058168	0.050994	0.075910	0.053217	0.035717	0.044066	0.074393	0.052378	0.064484
7.386000	0.071760	0.056453	0.056244	0.064676	0.053546	0.076114	0.056158	0.037483	0.053100	0.067833	0.057910	0.064328
7.385300	0.078824	0.067524	0.073128	0.075278	0.064712	0.080178	0.063329	0.044680	0.069893	0.066210	0.070464	0.065655
7.384600	0.091133	0.083101	0.090914	0.098109	0.076835	0.094616	0.078958	0.054079	0.090645	0.068668	0.087702	0.071895
7.383900	0.110693	0.103406	0.109769	0.135849	0.096414	0.118346	0.114458	0.069162	0.111852	0.083175	0.106237	0.083981
7.383200	0.134023	0.115064	0.125568	0.157807	0.129986	0.130555	0.146596	0.093146	0.128128	0.108287	0.120813	0.101194
7.382500	0.144931	0.132226	0.132283	0.162779	0.151517	0.138836	0.169003	0.111509	0.142358	0.140978	0.122322	0.113354
7.381800	0.151244	0.153192	0.148001	0.157465	0.163066	0.145482	0.180336	0.120518	0.166784	0.159780	0.127792	0.129597
7.381100	0.159098	0.163102	0.171464	0.151896	0.163123	0.153448	0.184633	0.120202	0.191738	0.157039	0.136905	0.147288
7.380400	0.164683	0.155569	0.190795	0.150156	0.162276	0.153569	0.177084	0.117219	0.202758	0.145777	0.144455	0.163622
7.379700	0.154988	0.136312	0.189376	0.145077	0.160956	0.141995	0.157479	0.111374	0.191448	0.142167	0.137762	0.167703
7.379000	0.136928	0.120541	0.168995	0.134934	0.153837	0.126237	0.137489	0.102289	0.166540	0.133864	0.122476	0.155115
7.378300	0.130607	0.124633	0.150988	0.142009	0.145977	0.128765	0.140973	0.096104	0.146891	0.134560	0.111475	0.144748
7.377600	0.148926	0.143878	0.151771	0.159021	0.152383	0.147370	0.158419	0.106735	0.158261	0.148900	0.120182	0.159979
7.376900	0.165928	0.157216	0.167351	0.171139	0.161326	0.160804	0.169831	0.122031	0.183520	0.159399	0.135611	0.182533
7.376200	0.169041	0.153564	0.175259	0.174216	0.163313	0.162286	0.164636	0.129821	0.198429	0.165026	0.142275	0.195208
7.375500	0.169730	0.148478	0.176601	0.172680	0.155250	0.165191	0.159354	0.123250	0.190299	0.173531	0.142505	0.195679
7.374800	0.166508	0.141842	0.173618	0.152566	0.141265	0.158049	0.142066	0.116054	0.180693	0.167003	0.136377	0.191620
7.374100	0.145123	0.125533	0.157311	0.122146	0.120367	0.132046	0.113630	0.107244	0.161860	0.131574	0.121603	0.164993
7.373400	0.114939	0.100563	0.128596	0.096231	0.100848	0.100379	0.088716	0.092850	0.130781	0.090818	0.099404	0.126896
7.372700	0.095159	0.089483	0.104635	0.086021	0.091533	0.085537	0.081648	0.076057	0.100294	0.069178	0.080962	0.096616
7.372000	0.097741	0.096336	0.097149	0.094762	0.098993	0.090470	0.090129	0.071645	0.093388	0.072592	0.079677	0.086099
7.371300	0.113195	0.107957	0.107328	0.110926	0.113945	0.102308	0.106754	0.078988	0.107099	0.086361	0.090066	0.093220
7.370600	0.129660	0.128118	0.125587	0.136086	0.131289	0.123878	0.131645	0.091106	0.130785	0.110479	0.104118	0.108788
7.369900	0.155403	0.149657	0.158484	0.162996	0.158686	0.147550	0.156451	0.107398	0.162786	0.132379	0.125616	0.138943
7.369200	0.185621	0.190103	0.196468	0.207018	0.190131	0.185504	0.197068	0.123777	0.194797	0.164848	0.151226	0.173948
7.368500	0.235642	0.268444	0.260585	0.291402	0.240991	0.259053	0.276420	0.151677	0.252423	0.222980	0.194636	0.231848
7.367800	0.323625	0.333702	0.376522	0.369492	0.327198	0.324631	0.348891	0.199644	0.358856	0.287445	0.269941	0.341193
7.367100	0.397017	0.385563	0.470211	0.448939	0.396728	0.385547	0.425413	0.245127	0.444636	0.373139	0.331663	0.439595
7.366400	0.453786	0.419196	0.537609	0.513903	0.453728	0.430687	0.495702	0.289313	0.505761	0.478965	0.375317	0.529648
7.365700	0.486274	0.414524	0.569316	0.515339	0.502184	0.431428	0.508977	0.325230	0.543787	0.527644	0.397404	0.589047
7.365000	0.492610	0.413129	0.557397	0.501792	0.525945	0.422341	0.508737	0.331045	0.548702	0.545592	0.393204	0.582547
7.364300	0.512764	0.435384	0.544969	0.512064	0.566151	0.428093	0.518698	0.341975	0.569677	0.563988	0.401493	0.565145
7.363600	0.530328	0.448922	0.556262	0.534898	0.596982	0.437928	0.524355	0.360895	0.616658	0.565567	0.423959	0.564035
7.362900	0.493431	0.375736	0.554494	0.490294	0.555677	0.396180	0.451426	0.369256	0.630444	0.497770	0.421183	0.554674
7.362200	0.356248	0.274945	0.461004	0.381543	0.398200	0.309834	0.335313	0.310331	0.524411	0.381240	0.339391	0.459232
7.361500	0.251848	0.204684	0.342763	0.269092	0.272512	0.226518	0.237721	0.230809	0.385726	0.261712	0.247628	0.332214
7.360800	0.193319	0.159514	0.244468	0.177971	0.198330	0.163249	0.160640	0.175333	0.271621	0.160119	0.181659	0.228673
7.360100	0.136037	0.120756	0.169632	0.132009	0.140115	0.122565	0.116468	0.131791	0.189397	0.111364	0.134294	0.153916
7.359400	0.102315	0.098022	0.134418	0.109051	0.110764	0.097999	0.094476	0.097470	0.139063	0.088338	0.105273	0.113912
7.358700	0.093622	0.111240	0.123341	0.114299	0.102637	0.099273	0.090599	0.079165	0.119579	0.079035	0.097937	0.099459
7.358000	0.110113	0.145302	0.147706	0.145311	0.121324	0.121302	0.108576	0.078966	0.138193	0.085628	0.121407	0.110753
