Collection ID	10824
Type	SpectraCollection
Description	48,DSFu,Rat,Urine (1)
Processing log	Standardized ppm range to 11.6:0.0007:-2.0. Set reference [0.030000,-0.030000]. Fix baseline (lambda: 200.000000). Cropped ranges: 9.8,0.14. Zeroed ranges: 6.01,5.54;5.0,4.72;4.01,3.92;3.86,3.82. Sum normalized to 1000.0.  Extracted residual after subtracting peaks for:  U6.837 (13), U6.824 (14).
Base sample ID	20531	20540	20541	20553	20637	20673	20707	20748	20792	20822	20834	20835
Time	48	48	48	48	48	48	48	48	48	48	48	48
Classification	DSFu	DSFu	DSFu	DSFu	DSFu	DSFu	DSFu	DSFu	DSFu	DSFu	DSFu	DSFu
Sample ID	Urine	Urine	Urine	Urine	Urine	Urine	Urine	Urine	Urine	Urine	Urine	Urine
Subject ID	5	6	3	1	2	4	25	29	28	26	30	27
Sample Description												
Weight												
Units of weight												
Species	Rat	Rat	Rat	Rat	Rat	Rat	Rat	Rat	Rat	Rat	Rat	Rat
X	Y1	Y2	Y3	Y4	Y5	Y6	Y7	Y8	Y9	Y10	Y11	Y12
9.777900	-0.000395	0.000025	0.000457	-0.000386	-0.000401	-0.000023	-0.000726	0.000235	-0.000167	0.000096	-0.000336	0.001003
9.777200	-0.000522	0.000523	0.000009	0.000004	-0.000577	-0.001298	-0.000506	-0.000264	-0.000357	-0.000177	0.000636	0.000675
9.776500	-0.001008	0.000271	-0.000823	0.000051	0.000681	-0.001172	-0.000510	0.000322	-0.000208	0.000045	-0.000247	-0.000055
9.775800	-0.001296	-0.001044	-0.000210	-0.000575	-0.000016	-0.000510	-0.000407	-0.000788	0.000713	0.000115	0.000150	0.000279
9.775100	-0.001131	-0.000108	-0.000788	-0.000307	-0.000791	-0.000355	-0.000007	-0.000148	0.000795	-0.000471	-0.000558	0.000408
9.774400	-0.000874	0.000626	-0.000824	0.000025	0.000222	-0.000563	-0.000271	-0.000621	0.000560	-0.000673	0.000019	-0.000359
9.773700	-0.000346	0.000405	-0.000107	-0.000423	0.000383	-0.000174	0.000298	-0.000051	0.000421	-0.001002	0.000112	-0.000263
9.773000	-0.000415	-0.000219	-0.001366	-0.000041	-0.000239	-0.000176	0.000698	0.000026	0.000717	0.000824	-0.000749	-0.000621
9.772300	0.000530	0.000078	-0.001276	-0.000330	-0.000193	0.000677	0.000269	0.000187	-0.000262	0.000158	-0.001121	0.000810
9.771600	0.001046	-0.000141	-0.000309	-0.000057	-0.001421	-0.000235	-0.000884	-0.000484	-0.001685	-0.000378	-0.000520	0.000280
9.770900	0.000629	-0.000396	0.000136	0.000105	0.000121	0.000460	-0.001000	0.000039	-0.001918	-0.000249	0.000499	0.000440
9.770200	0.000826	0.000780	0.000469	0.000398	0.001185	0.000794	-0.000619	-0.000168	-0.000865	-0.000112	0.000412	-0.000576
9.769500	-0.000294	0.000162	-0.000163	0.000961	0.000858	0.001174	-0.001188	-0.000797	-0.000342	-0.000011	0.000047	-0.000137
9.768800	0.000286	-0.000011	0.000180	0.000962	0.001198	0.000070	0.000137	-0.000028	0.000811	-0.000181	0.000667	0.000567
9.768100	0.000068	-0.000248	-0.000409	0.000789	0.001220	-0.000068	-0.000034	0.000177	0.000522	-0.000160	0.000878	-0.000329
9.767400	-0.000752	0.000037	0.001262	0.000973	0.000983	0.001160	0.000271	-0.001280	0.001427	0.000159	-0.000407	0.000081
9.766700	0.000080	-0.000372	0.000881	0.000573	0.000882	0.000573	0.001304	-0.001063	0.000970	0.000560	0.000008	0.000066
9.766000	-0.000342	-0.000337	-0.000567	0.000382	0.000742	0.000151	0.000435	-0.000118	-0.001059	0.000188	-0.000121	-0.000576
9.765300	-0.000665	0.000440	-0.000748	-0.000533	-0.000155	-0.001088	0.000712	-0.000351	-0.001158	0.000703	-0.000399	-0.000847
9.764600	-0.000897	-0.000919	-0.000495	-0.000193	-0.000158	-0.000447	0.000425	-0.000212	0.000423	-0.000052	-0.000095	-0.000364
9.763900	-0.001105	-0.000376	0.000123	0.000540	0.000234	-0.000736	-0.000409	-0.000424	-0.000147	0.000048	-0.000578	-0.000111
9.763200	-0.000315	-0.000324	0.000070	0.000558	-0.000507	-0.000653	-0.000672	0.000214	-0.000052	-0.000290	-0.000716	-0.000402
9.762500	0.000060	-0.000116	0.001062	-0.000126	-0.000034	0.000263	-0.000743	-0.000157	0.000129	0.000518	-0.001659	-0.000589
9.761800	0.000789	0.000089	-0.000306	-0.000562	0.000495	-0.000294	0.000044	-0.000217	-0.000554	0.000259	-0.000240	-0.000104
9.761100	-0.000224	-0.000250	-0.000431	-0.000014	0.000133	-0.000389	-0.000243	-0.000028	-0.000387	0.000651	-0.000409	0.000226
9.760400	-0.000576	0.000240	0.001405	-0.000382	-0.000209	0.000718	-0.000118	0.000064	-0.001491	-0.000787	-0.000913	0.000403
9.759700	-0.000583	-0.000386	-0.000013	-0.000733	-0.000530	-0.000469	0.000603	-0.000224	-0.000446	-0.000094	-0.000663	0.000028
9.759000	-0.000452	-0.001788	-0.001770	-0.000402	0.000561	0.000247	0.000274	0.000639	-0.001301	-0.000241	0.000315	0.000377
9.758300	0.000041	-0.000595	-0.000341	0.000051	-0.001701	0.001015	-0.000439	0.000817	-0.001002	-0.000215	0.000545	-0.000211
9.757600	-0.000169	0.000138	0.000130	0.000623	-0.001293	0.000430	0.000518	-0.000103	-0.001503	-0.000691	0.000659	-0.000856
9.756900	0.000239	-0.000007	-0.000715	-0.000729	0.000118	-0.000372	-0.000109	0.000149	-0.000114	-0.000341	-0.000329	-0.000529
9.756200	-0.000739	0.000852	-0.000423	-0.001273	-0.000347	-0.000943	-0.000829	0.000370	0.000558	0.000242	-0.000781	-0.000657
9.755500	-0.001368	0.000252	0.000180	-0.000618	0.000232	-0.000692	-0.000118	-0.000468	-0.000034	0.000596	-0.000800	-0.000360
9.754800	-0.000734	-0.000323	-0.000624	0.000194	-0.000346	-0.000368	0.000274	-0.000594	0.000737	-0.000042	0.001077	0.000211
9.754100	-0.000043	-0.000583	-0.000368	-0.000237	-0.000630	0.000545	0.000635	-0.000641	0.002001	-0.001254	0.000472	0.000453
9.753400	-0.000234	0.000093	0.000228	-0.000117	-0.000554	0.000463	-0.000079	-0.000182	0.001366	-0.000973	0.000363	0.000031
9.752700	-0.000511	0.000106	0.000855	0.000591	-0.000277	-0.000427	-0.000456	0.000583	0.000022	0.000094	-0.000425	-0.000891
9.752000	-0.000429	0.000554	0.002078	0.000100	-0.001435	-0.000264	-0.001249	0.000774	-0.000069	0.000133	0.000002	-0.000583
9.751300	-0.000908	-0.000320	0.000018	0.000491	-0.000535	-0.000258	-0.000914	0.000084	-0.000300	-0.000908	-0.000132	-0.000261
9.750600	-0.000740	0.001000	-0.001381	-0.000253	-0.000903	-0.000607	-0.000457	-0.000170	-0.000200	-0.000189	-0.000598	-0.000505
9.749900	-0.000022	0.000626	-0.000849	-0.000832	0.001012	-0.000525	-0.000525	-0.000309	-0.000331	-0.000118	0.000133	0.000783
9.749200	-0.000400	0.000009	-0.001394	-0.001143	0.000984	-0.000131	0.000061	0.000277	-0.000330	0.000327	0.000436	0.000556
9.748500	-0.000377	-0.000211	-0.000433	-0.000659	0.000551	0.000019	0.000050	-0.000055	0.002102	0.000307	0.000124	-0.000598
9.747800	0.000341	-0.000001	0.000036	-0.000497	0.000416	-0.000171	0.000300	-0.000332	0.001115	0.000077	-0.000690	-0.001029
9.747100	-0.000018	-0.000010	0.000602	-0.000543	-0.000752	-0.000398	-0.000537	-0.000563	0.000896	-0.000802	-0.000355	-0.000041
9.746400	-0.000192	-0.000493	0.001046	-0.000025	0.000614	0.000283	-0.000275	-0.000380	-0.000942	-0.000996	-0.000724	-0.000008
9.745700	0.001023	-0.000517	0.001236	0.001302	0.000406	-0.000191	0.000392	-0.000018	-0.001114	-0.000044	-0.000450	-0.000360
9.745000	0.000206	-0.000157	-0.000707	-0.000876	-0.000117	0.000129	0.000207	-0.000055	-0.001378	0.000265	-0.000270	-0.000511
9.744300	0.000063	-0.000976	-0.000748	-0.001039	-0.000353	-0.000517	0.000476	-0.000980	-0.000327	0.000659	0.000467	0.000720
9.743600	0.000463	0.000266	-0.000842	-0.000740	-0.000759	-0.000107	-0.000140	-0.000452	-0.000099	0.000483	0.000875	0.000525
9.742900	0.000453	-0.000006	-0.000625	0.000092	-0.000695	0.000699	0.000343	-0.000563	-0.000722	0.000796	-0.000076	-0.000286
9.742200	0.000670	0.000105	-0.000821	-0.000531	-0.000090	0.000174	0.000353	-0.000274	0.000194	0.000195	0.000584	-0.000377
9.741500	-0.000113	0.000235	0.000664	-0.001351	-0.000040	0.000496	0.000263	0.000590	0.000380	-0.000424	0.000421	0.000171
9.740800	0.000355	-0.000067	0.001052	0.000013	-0.000338	0.000821	0.001032	-0.000045	-0.000714	0.000729	0.000533	-0.000003
9.740100	0.000372	0.000188	0.001491	-0.000071	-0.000147	0.000400	0.000391	0.000042	-0.000053	0.000113	0.000592	0.000854
9.739400	-0.000381	0.000689	-0.000432	0.001255	-0.000018	0.000047	0.000251	-0.000076	0.001177	-0.000112	0.000494	-0.000079
9.738700	0.001196	0.001455	0.000688	0.001498	-0.000085	0.000603	0.000900	0.000395	0.000230	0.000026	-0.000533	-0.000234
9.738000	0.001408	0.000014	0.000969	0.000200	0.000120	0.000252	0.000571	-0.000046	-0.000535	0.000285	0.001723	-0.000364
9.737300	0.000481	-0.000016	0.002309	0.000807	-0.000002	0.000640	0.000484	0.000346	0.000171	0.001259	0.001613	0.000655
9.736600	0.000339	0.000867	0.002725	0.000788	-0.000348	0.000028	0.001844	0.000509	-0.000053	0.000662	0.002440	0.000987
