"Metabolite Name","ID","Peak","Spectrum 1","Spectrum 2","Spectrum 3","Spectrum 4","Spectrum 5","Spectrum 6","Spectrum 7","Spectrum 8","Spectrum 9","Spectrum 10","Spectrum 11","Spectrum 12"
"U6.837",13,"Sum",0.000422,0.000109,0.000343,0.000174,0.000079,0.000220,0.000290,0.000075,0.000122,0.000161,0.000174,0.000315
"U6.837",13,"Peak 1",0.000422,0.000109,0.000343,0.000174,0.000079,0.000220,0.000290,0.000075,0.000122,0.000161,0.000174,0.000315
"U6.824",14,"Sum",0.000160,0.000090,0.000194,0.000077,0.000071,0.000104,0.000205,0.000049,0.000058,0.000108,0.000167,0.000129
"U6.824",14,"Peak 1",0.000160,0.000090,0.000194,0.000077,0.000071,0.000104,0.000205,0.000049,0.000058,0.000108,0.000167,0.000129
