"Metabolite Name","ID","Peak","Spectrum 1","Spectrum 2","Spectrum 3","Spectrum 4","Spectrum 5","Spectrum 6","Spectrum 7","Spectrum 8","Spectrum 9","Spectrum 10","Spectrum 11"
"U6.837",13,"Sum",0.000164,0.000132,0.000188,0.000107,0.000132,0.000021,0.000158,0.000137,0.000081,0.000198,0.000121
"U6.837",13,"Peak 1",0.000164,0.000132,0.000188,0.000107,0.000132,0.000021,0.000158,0.000137,0.000081,0.000198,0.000121
"U6.824",14,"Sum",0.000148,0.000096,0.000087,0.000066,0.000084,0.000031,0.000164,0.000148,0.000106,0.000147,0.000059
"U6.824",14,"Peak 1",0.000148,0.000096,0.000087,0.000066,0.000084,0.000031,0.000164,0.000148,0.000106,0.000147,0.000059
