truth:...bute/pk_fnd_exp/2011-11Nov-22$ cd ../data/
truth:...nt_distribute/pk_fnd_exp/data$ waffles_learn splittest -reps 100 -stddev -trainratio 0.7 two_spectra_window_65.arff -ignore 0,66,67 -labels 68 bag 64 decisiontree -maxlevels 2
rep 0) 0.73277967757694
rep 1) 0.72496336101612
rep 2) 0.78651685393259
rep 3) 0.72887151929653
rep 4) 0.77967757694187
rep 5) 0.78993649242794
rep 6) 0.72936003908158
rep 7) 0.74352711284807
rep 8) 0.72203224230581
rep 9) 0.7171470444553
rep 10) 0.80312652662433
rep 11) 0.7191011235955
rep 12) 0.75574010747435
rep 13) 0.78749389350269
rep 14) 0.771372740596
rep 15) 0.78163165608207
rep 16) 0.74890083048363
rep 17) 0.74303859306302
rep 18) 0.73424523693209
rep 19) 0.78895945285784
rep 20) 0.79286761113825
rep 21) 0.75818270639961
rep 22) 0.72007816316561
rep 23) 0.72838299951148
rep 24) 0.75769418661456
rep 25) 0.71421592574499
rep 26) 0.78260869565217
rep 27) 0.72789447972643
rep 28) 0.74890083048364
rep 29) 0.73033707865169
rep 30) 0.7542745481192
rep 31) 0.77674645823156
rep 32) 0.72789447972643
rep 33) 0.72545188080117
rep 34) 0.78016609672692
rep 35) 0.72398632144602
rep 36) 0.79677576941866
rep 37) 0.78602833414753
rep 38) 0.80312652662433
rep 39) 0.76795310210064
rep 40) 0.72447484123107
rep 41) 0.78749389350269
rep 42) 0.78944797264289
rep 43) 0.78749389350269
rep 44) 0.76404494382022
rep 45) 0.78212017586712
rep 46) 0.72447484123107
rep 47) 0.72203224230581
rep 48) 0.78798241328774
rep 49) 0.72594040058623
rep 50) 0.76941866145579
rep 51) 0.71958964338056
rep 52) 0.73375671714704
rep 53) 0.76551050317538
rep 54) 0.78505129457743
rep 55) 0.7361993160723
rep 56) 0.73864191499756
rep 57) 0.76990718124084
rep 58) 0.71861260381045
rep 59) 0.78700537371764
rep 60) 0.76941866145579
rep 61) 0.7562286272594
rep 62) 0.73131411822179
rep 63) 0.78456277479238
rep 64) 0.76355642403517
rep 65) 0.72300928187592
rep 66) 0.72154372252076
rep 67) 0.7733268197362
rep 68) 0.72691744015633
rep 69) 0.78798241328774
rep 70) 0.72496336101612
rep 71) 0.7161700048852
rep 72) 0.74255007327797
rep 73) 0.73961895456766
rep 74) 0.72594040058622
rep 75) 0.77821201758671
rep 76) 0.73961895456766
rep 77) 0.72838299951148
rep 78) 0.7171470444553
rep 79) 0.70591108939912
rep 80) 0.771372740596
rep 81) 0.72300928187592
rep 82) 0.71958964338056
rep 83) 0.72545188080117
rep 84) 0.78456277479238
rep 85) 0.74596971177333
rep 86) 0.76111382510992
rep 87) 0.73473375671715
rep 88) 0.78212017586712
rep 89) 0.7342452369321
rep 90) 0.72203224230581
rep 91) 0.71226184660479
rep 92) 0.72838299951148
rep 93) 0.78016609672692
rep 94) 0.79384465070835
rep 95) 0.73277967757694
rep 96) 0.79677576941866
rep 97) 0.72740595994138
rep 98) 0.72936003908158
rep 99) 0.78309721543723
-----Mean-----
0.75155837811431
-----Standard Deviation-----
0.027860325345197
truth:...nt_distribute/pk_fnd_exp/data$ exit
exit

Process shell finished
